icd9code	icd9descr
761	Fetus or newborn affected by maternal complications of pregnancy
762	Fetus or newborn affected by complications of placenta, cord, and membranes
763	Fetus or newborn affected by other complications of labor and delivery
769	Respiratory distress syndrome
764	Slow fetal growth and fetal malnutrition
765	Disorders relating to short gestation and low birthweight
766	Disorders relating to long gestation and high birthweight
767	Birth trauma
768	Intrauterine hypoxia and birth asphyxia
770	Other respiratory conditions of fetus and newborn
771	Infections specific to the perinatal period
772	Fetal and neonatal hemorrhage
773	Hemolytic disease of fetus or newborn, due to isoimmunization
774	Other perinatal jaundice
775	Endocrine and metabolic disturbances specific to the fetus and newborn
776	Hematological disorders of newborn
777	Perinatal disorders of digestive system
778	Conditions involving the integument and temperature regulation of fetus and newborn
779	Other and ill-defined conditions originating in the perinatal period
780	General symptoms
781	Symptoms involving nervous and musculoskeletal systems
782	Symptoms involving skin and other integumentary tissue
783	Symptoms concerning nutrition, metabolism, and development
784	Symptoms involving head and neck
785	Symptoms involving cardiovascular system
786	Symptoms involving respiratory system and other chest symptoms
787	Symptoms involving digestive system
788	Symptoms involving urinary system
789	Other symptoms involving abdomen and pelvis
790	Nonspecific findings on examination of blood
791	Nonspecific findings on examination of urine
792	Nonspecific abnormal findings in other body substances
793	Nonspecific abnormal findings on radiological and other examination of body structure
794	Nonspecific abnormal results of function studies
795	Other and nonspecific abnormal cytological, histological, immunological and DNA test findings
796	Other nonspecific abnormal findings
797	Senility without mention of psychosis
798	Sudden death, cause unknown
799	Other ill-defined and unknown causes of morbidity and mortality
800	Fracture of vault of skull
801	Fracture of base of skull
802	Fracture of face bones
803	Other and unqualified skull fractures
804	Multiple fractures involving skull or face with other bones
805	Fracture of vertebral column without mention of spinal cord injury
806	Fracture of vertebral column with spinal cord injury
807	Fracture of rib(s), sternum, larynx, and trachea
808	Fracture of pelvis
809	Ill-defined fractures of bones of trunk
810	Fracture of clavicle
811	Fracture of scapula
812	Fracture of humerus
813	Fracture of radius and ulna
814	Fracture of carpal bone(s)
815	Fracture of metacarpal bone(s)
816	Fracture of one or more phalanges of hand
817	Multiple fractures of hand bones
818	Ill-defined fractures of upper limb
819	Multiple fractures involving both upper limbs, and upper limb with rib(s) and sternum
820	Fracture of neck of femur
821	Fracture of other and unspecified parts of femur
822	Fracture of patella
823	Fracture of tibia and fibula
824	Fracture of ankle
825	Fracture of one or more tarsal and metatarsal bones
826	Fracture of one or more phalanges of foot
827	Other, multiple, and ill-defined fractures of lower limb
828	Multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum
829	Fracture of unspecified bones
830	Dislocation of jaw
831	Dislocation of shoulder
832	Dislocation of elbow
833	Dislocation of wrist
834	Dislocation of finger
835	Dislocation of hip
836	Dislocation of knee
837	Dislocation of ankle
838	Dislocation of foot
839	Other, multiple, and ill-defined dislocations
840	Sprains and strains of shoulder and upper arm
841	Sprains and strains of elbow and forearm
842	Sprains and strains of wrist and hand
843	Sprains and strains of hip and thigh
844	Sprains and strains of knee and leg
845	Sprains and strains of ankle and foot
846	Sprains and strains of sacroiliac region
847	Sprains and strains of other and unspecified parts of back
848	Other and ill-defined sprains and strains
850	Concussion
851	Cerebral laceration and contusion
852	Subarachnoid, subdural, and extradural hemorrhage, following injury
853	Other and unspecified intracranial hemorrhage following injury
854	Intracranial injury of other and unspecified nature
860	Traumatic pneumothorax and hemothorax
861	Injury to heart and lung
862	Injury to other and unspecified intrathoracic organs
863	Injury to gastrointestinal tract
864	Injury to liver
865	Injury to spleen
866	Injury to kidney
867	Injury to pelvic organs
868	Injury to other intra-abdominal organs
869	Internal injury to unspecified or ill-defined organs
870	Open wound of ocular adnexa
871	Open wound of eyeball
872	Open wound of ear
873	Other open wound of head
874	Open wound of neck
875	Open wound of chest (wall)
876	Open wound of back
877	Open wound of buttock
878	Open wound of genital organs (external), including traumatic amputation
879	Open wound of other and unspecified sites, except limbs
880	Open wound of shoulder and upper arm
881	Open wound of elbow, forearm, and wrist
882	Open wound of hand except finger(s) alone
883	Open wound of finger(s)
884	Multiple and unspecified open wound of upper limb
885	Traumatic amputation of thumb (complete) (partial)
886	Traumatic amputation of other finger(s) (complete) (partial)
887	Traumatic amputation of arm and hand (complete) (partial)
890	Open wound of hip and thigh
891	Open wound of knee, leg [except thigh], and ankle
892	Open wound of foot except toe(s) alone
893	Open wound of toe(s)
894	Multiple and unspecified open wound of lower limb
895	Traumatic amputation of toe(s) (complete) (partial)
896	Traumatic amputation of foot (complete) (partial)
897	Traumatic amputation of leg(s) (complete) (partial)
900	Injury to blood vessels of head and neck
901	Injury to blood vessels of thorax
902	Injury to blood vessels of abdomen and pelvis
903	Injury to blood vessels of upper extremity
904	Injury to blood vessels of lower extremity and unspecified sites
905	Late effects of musculoskeletal and connective tissue injuries
906	Late effects of injuries to skin and subcutaneous tissues
907	Late effects of injuries to the nervous system
908	Late effects of other and unspecified injuries
909	Late effects of other and unspecified external causes
920	Contusion of face, scalp, and neck except eye(s)
921	Contusion of eye and adnexa
922	Contusion of trunk
923	Contusion of upper limb
924	Contusion of lower limb and of other and unspecified sites
925	Crushing injury of face, scalp, and neck
926	Crushing injury of trunk
927	Crushing injury of upper limb
928	Crushing injury of lower limb
929	Crushing injury of multiple and unspecified sites
938	Foreign body in digestive system, unspecified
937	Foreign body in anus and rectum
936	Foreign body in intestine and colon
932	Foreign body in nose
931	Foreign body in ear
930	Foreign body on external eye
933	Foreign body in pharynx and larynx
934	Foreign body in trachea, bronchus, and lung
935	Foreign body in mouth, esophagus, and stomach
939	Foreign body in genitourinary tract
940	Burn confined to eye and adnexa
941	Burn of face, head, and neck
942	Burn of trunk
943	Burn of upper limb, except wrist and hand
944	Burn of wrist(s) and hand(s)
945	Burn of lower limb(s)
946	Burns of multiple specified sites
947	Burn of internal organs
948	Burns classified according to extent of body surface involved
949	Burn, unspecified
950	Injury to optic nerve and pathways
951	Injury to other cranial nerve(s)
952	Spinal cord injury without evidence of spinal bone injury
953	Injury to nerve roots and spinal plexus
954	Injury to other nerve(s) of trunk, excluding shoulder and pelvic girdles
955	Injury to peripheral nerve(s) of shoulder girdle and upper limb
956	Injury to peripheral nerve(s) of pelvic girdle and lower limb
957	Injury to other and unspecified nerves
958	Certain early complications of trauma
959	Injury, other and unspecified
960	Poisoning by antibiotics
961	Poisoning by other anti-infectives
962	Poisoning by hormones and synthetic substitutes
963	Poisoning by primarily systemic agents
964	Poisoning by agents primarily affecting blood constituents
965	Poisoning by analgesics, antipyretics, and antirheumatics
966	Poisoning by anticonvulsants and anti-Parkinsonism drugs
967	Poisoning by sedatives and hypnotics
968	Poisoning by other central nervous system depressants and anesthetics
969	Poisoning by psychotropic agents
970	Poisoning by central nervous system stimulants
971	Poisoning by drugs primarily affecting the autonomic nervous system
972	Poisoning by agents primarily affecting the cardiovascular system
973	Poisoning by agents primarily affecting the gastrointestinal system
974	Poisoning by water, mineral, and uric acid metabolism drugs
975	Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
976	Poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs
977	Poisoning by other and unspecified drugs and medicinal substances
978	Poisoning by bacterial vaccines
979	Poisoning by other vaccines and biological substances
986	Toxic effect of carbon monoxide
981	Toxic effect of petroleum products
980	Toxic effect of alcohol
982	Toxic effect of solvents other than petroleum based
983	Toxic effect of corrosive aromatics, acids, and caustic alkalis
984	Toxic effect of lead and its compounds (including fumes)
985	Toxic effect of other metals
987	Toxic effect of other gases, fumes, or vapors
988	Toxic effect of noxious substances eaten as food
989	Toxic effect of other substances, chiefly nonmedicinal as to source
990	Effects of radiation, unspecified
991	Effects of reduced temperature
992	Effects of heat and light
993	Effects of air pressure
994	Effects of other external causes
995	Certain adverse effects not elsewhere classified
996	Complications peculiar to certain specified procedures
997	Complications affecting specified body systems, not elsewhere classified
998	Other complications of procedures, NEC
999	Complications of medical care, not elsewhere classified
V01	Contact with or exposure to communicable diseases
V02	Carrier or suspected carrier of infectious diseases
V03	Need for prophylactic vaccination and inoculation against bacterial diseases
V04	Need for prophylactic vaccination and inoculation against certain diseases
V05	Need for prophylactic vaccination and inoculation against single diseases
V06	Need for prophylactic vaccination and inoculation against combinations of diseases
V08	Asymptomatic human immunodeficiency virus [HIV] infection status
V07	Need for isolation and other prophylactic measures
V09	Infection with drug-resistant microorganisms
V10	Personal history of malignant neoplasm
V11	Personal history of mental disorder
V12	Personal history of certain other diseases
V13	Personal history of other diseases
V14	Personal history of allergy to medicinal agents
V15	Other personal history presenting hazards to health
V16	Family history of malignant neoplasm
V17	Family history of certain chronic disabling diseases
V18	Family history of certain other specific conditions
V19	Family history of other conditions
V20	Health supervision of infant or child
V21	Constitutional states in development
V22	Normal pregnancy
V23	Supervision of high-risk pregnancy
V24	Postpartum care and examination
V25	Encounter for contraceptive management
V26	Procreative management
V27	Outcome of delivery
V28	Encounter for antenatal screening of mother
V29	Observation and evaluation of newborns for suspected condition not found
V39	Unspecified
V37	Other multiple, unspecified
V36	Other multiple, mates live- and stillborn
V35	Other multiple, mates all stillborn
V34	Other multiple, mates all liveborn
V33	Twin, unspecified
V32	Twin, mate stillborn
V31	Twin, mate liveborn
V30	Single liveborn
V40	Mental and behavioral problems
V41	Problems with special senses and other special functions
V42	Organ or tissue replaced by transplant
V43	Organ or tissue replaced by other means
V44	Artificial opening status
V45	Other postprocedural states
V46	Other dependence on machines and devices
V47	Other problems with internal organs
V48	Problems with head, neck, and trunk
V49	Other conditions influencing health status
V50	Elective surgery for purposes other than remedying health states
V51	Aftercare involving the use of plastic surgery
V52	Fitting and adjustment of prosthetic device and implant
V53	Fitting and adjustment of other device
V54	Other orthopedic aftercare
V55	Attention to artificial openings
V56	Encounter for dialysis and dialysis catheter care
V57	Care involving use of rehabilitation procedures
V58	Encounter for other and unspecified procedures and aftercare
V59	Donors
V60	Housing, household, and economic circumstances
V61	Other family circumstances
V62	Other psychosocial circumstances
V63	Unavailability of other medical facilities for care
V64	Persons encountering health services for specific procedures, not carried out
V65	Other persons seeking consultation
V66	Convalescence and palliative care
V67	Follow-up examination
V68	Encounters for administrative purposes
V69	Problems related to lifestyle
V70	General medical examination
V71	Observation and evaluation for suspected conditions not found
V72	Special investigations and examinations
V73	Special screening examination for viral and chlamydial diseases
V74	Special screening examination for bacterial and spirochetal diseases
V75	Special screening examination for other infectious diseases
V76	Special screening for malignant neoplasms
V77	Special screening for endocrine, nutritional, metabolic, and immunity disorders
V78	Special screening for disorders of blood and blood-forming organs
V79	Special screening for mental disorders and developmental handicaps
V80	Special screening for neurological, eye, and ear diseases
V81	Special screening for cardiovascular, respiratory, and genitourinary diseases
V82	Special screening for other conditions
V83	Genetic carrier status
V84	Genetic susceptibility to disease
V85	Body mass index (BMI)
V86	Estrogen receptor status
V87	Other specified personal exposures and history presenting hazards to health
V88	Acquired absence of other organs and tissue
V89	Other suspected conditions not found
E807	Railway accident of unspecified nature
E806	Other specified railway accident
E805	Hit by rolling stock
E804	Fall in, on, or from railway train
E803	Railway accident involving explosion, fire, or burning
E802	Railway accident involving derailment without antecedent collision
E801	Railway accident involving collision with other object
E800	Railway accident involving collision with rolling stock
E819	Motor vehicle traffic accident of unspecified nature
E818	Other noncollision motor vehicle traffic accident
E817	Noncollision motor vehicle traffic accident while boarding or alighting
E816	Motor vehicle traffic accident due to loss of control, without collision on the highway
E815	Other motor vehicle traffic accident involving collision on the highway
E814	Motor vehicle traffic accident involving collision with pedestrian
E813	Motor vehicle traffic accident involving collision with other vehicle
E812	Other motor vehicle traffic accident involving collision with motor vehicle
E811	Motor vehicle traffic accident involving re-entrant collision with another motor vehicle
E810	Motor vehicle traffic accident involving collision with train
E825	Other motor vehicle nontraffic accident of other and unspecified nature
E824	Other motor vehicle nontraffic accident while boarding and alighting
E823	Other motor vehicle nontraffic accident involving collision with stationary object
E822	Other motor vehicle nontraffic accident involving collision with moving object
E821	Nontraffic accident involving other off-road motor vehicle
E820	Nontraffic accident involving motor-driven snow vehicle
E829	Other road vehicle accidents
E828	Accident involving animal being ridden
E827	Animal-drawn vehicle accident
E826	Pedal cycle accident
E838	Other and unspecified water transport accident
E837	Explosion, fire, or burning in watercraft
E836	Machinery accident in water transport
E835	Other and unspecified fall in water transport
E834	Other fall from one level to another in water transport
E833	Fall on stairs or ladders in water transport
E832	Other accidental submersion or drowning in water transport accident
E831	Accident to watercraft causing other injury
E830	Accident to watercraft causing submersion
E845	Accident involving spacecraft
E844	Other specified air transport accidents
E843	Fall in, on, or from aircraft
E842	Accident to unpowered aircraft
E841	Accident to powered aircraft, other and unspecified
E840	Accident to powered aircraft at takeoff or landing
E848	Accidents involving other vehicles, not elsewhere classifiable
E847	Accidents involving cable cars not running on rails
E846	Accidents involving powered vehicles used solely within the buildings and premises of industrial or commercial establishment
E857	Accidental poisoning by other anti-infectives
E856	Accidental poisoning by antibiotics
E851	Accidental poisoning by barbiturates
E850	Accidental poisoning by analgesics, antipyretics, and antirheumatics
E852	Accidental poisoning by other sedatives and hypnotics
E853	Accidental poisoning by tranquilizers
E854	Accidental poisoning by other psychotropic agents
E855	Accidental poisoning by other drugs acting on central and autonomic nervous system
E858	Accidental poisoning by other drugs
E867	Accidental poisoning by gas distributed by pipeline
E860	Accidental poisoning by alcohol, not elsewhere classified
E861	Accidental poisoning by cleansing and polishing agents, disinfectants, paints, and varnishes
E862	Accidental poisoning by petroleum products, other solvents and their vapors, not elsewhere classified
E863	Accidental poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers
E864	Accidental poisoning by corrosives and caustics, not elsewhere classified
E865	Accidental poisoning from poisonous foodstuffs and poisonous plants
E866	Accidental poisoning by other and unspecified solid and liquid substances
E868	Accidental poisoning by other utility gas and other carbon monoxide
E869	Accidental poisoning by other gases and vapors
E870	Accidental cut, puncture, perforation, or hemorrhage during medical care
E871	Foreign object left in body during procedure
E872	Failure of sterile precautions during procedure
E873	Failure in dosage
E874	Mechanical failure of instrument or apparatus during procedure
E875	Contaminated or infected blood, other fluid, drug, or biological substance
E876	Other and unspecified misadventures during medical care
E878	Surgical operation and other surgical procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation
E879	Other procedures, without mention of misadventure at the time of procedure, as the cause of abnormal reaction of patient, or of later complication
E887	Fracture, cause unspecified
E882	Fall from or out of building or other structure
E880	Fall on or from stairs or steps
E881	Fall on or from ladders or scaffolding
E883	Fall into hole or other opening in surface
E884	Other fall from one level to another
E885	Fall on same level from slipping, tripping, or stumbling
E886	Fall on same level from collision, pushing, or shoving, by or with other person
E888	Other and unspecified fall
E899	Accident caused by unspecified fire
E897	Accident caused by controlled fire not in building or structure
E896	Accident caused by controlled fire in other and unspecified building or structure
E895	Accident caused by controlled fire in private dwelling
E894	Ignition of highly inflammable material
E892	Conflagration not in building or structure
E890	Conflagration in private dwelling
E891	Conflagration in other and unspecified building or structure
E893	Accident caused by ignition of clothing
E898	Accident caused by other specified fire and flames
E907	Lightning
E903	Travel and motion
E900	Excessive heat
E901	Excessive cold
E902	High and low air pressure and changes in air pressure
E904	Hunger, thirst, exposure, and neglect
E905	Venomous animals and plants as the cause of poisoning and toxic reactions
E906	Other injury caused by animals
E908	Cataclysmic storms, and floods resulting from storms
E909	Cataclysmic earth surface movements and eruptions
E915	Foreign body accidentally entering other orifice
E914	Foreign body accidentally entering eye and adnexa
E912	Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation
E911	Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation
E910	Accidental drowning and submersion
E913	Accidental mechanical suffocation
E918	Caught accidentally in or between objects
E916	Struck accidentally by falling object
E917	Striking against or struck accidentally by objects or persons
E919	Accidents caused by machinery
E920	Accidents caused by cutting and piercing instruments or objects
E921	Accident caused by explosion of pressure vessel
E922	Accident caused by firearm and air gun missile
E923	Accident caused by explosive material
E924	Accident caused by hot substance or object, caustic or corrosive material, and steam
E925	Accident caused by electric current
E926	Exposure to radiation
E927	Overexertion and strenuous and repetitive movements or loads
E928	Other and unspecified environmental and accidental causes
E929	Late effects of accidental injury
E930	Antibiotics
E931	Other anti-infectives
E932	Hormones and synthetic substitutes
E933	Primarily systemic agents
E934	Agents primarily affecting blood constituents
E935	Analgesics, antipyretics, and antirheumatics
E936	Anticonvulsants and anti-Parkinsonism drugs
E937	Sedatives and hypnotics
E938	Other central nervous system depressants and anesthetics
E939	Psychotropic agents
E940	Central nervous system stimulants
E941	Drugs primarily affecting the autonomic nervous system
E942	Agents primarily affecting the cardiovascular system
E943	Agents primarily affecting gastrointestinal system
E944	Water, mineral, and uric acid metabolism drugs
E945	Agents primarily acting on the smooth and skeletal muscles and respiratory system
E946	Agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs
E947	Other and unspecified drugs and medicinal substances
E948	Bacterial vaccines
E949	Other vaccines and biological substances
E959	Late effects of self-inflicted injury
E956	Suicide and self-inflicted injury by cutting and piercing instrument
E954	Suicide and self-inflicted injury by submersion [drowning]
E950	Suicide and self-inflicted poisoning by solid or liquid substances
E951	Suicide and self-inflicted poisoning by gases in domestic use
E952	Suicide and self-inflicted poisoning by other gases and vapors
E953	Suicide and self-inflicted injury by hanging, strangulation, and suffocation
E955	Suicide and self-inflicted injury by firearms, air guns and explosives
E957	Suicide and self-inflicted injuries by jumping from high place
E958	Suicide and self-inflicted injury by other and unspecified means
E969	Late effects of injury purposely inflicted by other person
E966	Assault by cutting and piercing instrument
E964	Assault by submersion [drowning]
E963	Assault by hanging and strangulation
E961	Assault by corrosive or caustic substance, except poisoning
E960	Fight, brawl, rape
E962	Assault by poisoning
E965	Assault by firearms and explosives
E967	Perpetrator of child and adult abuse
E968	Assault by other and unspecified means
E978	Legal execution
E977	Late effects of injuries due to legal intervention
E976	Injury due to legal intervention by unspecified means
E975	Injury due to legal intervention by other specified means
E974	Injury due to legal intervention by cutting and piercing instrument
E973	Injury due to legal intervention by blunt object
E972	Injury due to legal intervention by gas
E971	Injury due to legal intervention by explosives
E970	Injury due to legal intervention by firearms
E989	Late effects of injury, undetermined whether accidentally or purposely inflicted
E986	Injury by cutting and piercing instruments, undetermined whether accidentally or purposely inflicted
E984	Submersion [drowning], undetermined whether accidentally or purposely inflicted
E980	Poisoning by solid or liquid substances, undetermined whether accidentally or purposely inflicted
E981	Poisoning by gases in domestic use, undetermined whether accidentally or purposely inflicted
E982	Poisoning by other gases, undetermined whether accidentally or purposely inflicted
E983	Hanging, strangulation, or suffocation, undetermined whether accidentally or purposely inflicted
E985	Injury by firearms, air guns and explosives, undetermined whether accidentally or purposely inflicted
E987	Falling from high place, undetermined whether accidentally or purposely inflicted
E988	Injury by other and unspecified means, undetermined whether accidentally or purposely inflicted
E998	Injury due to war operations but occurring after cessation of hostilities
E996	Injury due to war operations by nuclear weapons
E995	Injury due to war operations by other and unspecified forms of conventional warfare
E994	Injury due to war operations by destruction of aircraft
E993	Injury due to war operations by other explosion
E992	Injury due to war operations by explosion of marine weapons
E990	Injury due to war operations by fires and conflagrations
E991	Injury due to war operations by bullets and fragments
E997	Injury due to war operations by other forms of unconventional warfare
E999	Late effect of injury due to war operations and terrorism
